x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_GBP3,-0.17606210911002,-0.0261884250147251,1.00223740863592e-05,622,39,EXP,GBP3,0.000683637615705191,temozolomide::O6-benzylguanine::100::5,4,3.16517404916407
EXP_HMGCL,-0.11047263892439,-0.0418810852175102,0.00581412697055289,622,24,EXP,HMGCL,0.0348332181445004,temozolomide::O6-benzylguanine::100::5,3,1.45800640042447
EXP_GALE,-0.158221959085498,-0.045839169855687,7.39837334687503e-05,622,33,EXP,GALE,0.00211856809653311,temozolomide::O6-benzylguanine::100::5,3,2.67395757203435
EXP_CR2,0.132980063712064,0.0414272130259472,0.000885396272410594,622,11,EXP,CR2,0.010120954007021,temozolomide::O6-benzylguanine::100::5,3,1.99477854871586
EXP_CD46,-0.169336729886414,-0.0521199848398995,2.18157237092156e-05,622,35,EXP,CD46,0.00105007593181538,temozolomide::O6-benzylguanine::100::5,4,2.97877929561949
EXP_PRPF3,0.0973217125820689,0.0378708469703086,0.0151789819395246,622,18,EXP,PRPF3,0.0661803612563274,temozolomide::O6-benzylguanine::100::5,5,1.17927086650223
EXP_SLC2A1,-0.0951328509027272,-0.0175084478887142,0.0176338313469021,622,19,EXP,SLC2A1,0.0730204854426252,temozolomide::O6-benzylguanine::100::5,2,1.13655528417248
EXP_ARTN,0.0960008857422552,0.0166005688742998,0.0166215950842857,622,19,EXP,ARTN,0.0702054622372516,temozolomide::O6-benzylguanine::100::5,3,1.15362909688428
EXP_PTCH2,0.118713371409242,0.060443236995971,0.0030244756780924,622,16,EXP,PTCH2,0.0225059292937422,temozolomide::O6-benzylguanine::100::5,4,1.6477030498745
EXP_TSPAN1,-0.1615645453946,-0.0156683629521891,5.16734040231137e-05,622,46,EXP,TSPAN1,0.00169190341273354,temozolomide::O6-benzylguanine::100::5,2,2.77162443356305
EXP_BLZF1,-0.0962585925034343,-0.0375665084480176,0.0163310455693501,622,12,EXP,BLZF1,0.0695345299632485,temozolomide::O6-benzylguanine::100::5,2,1.15779947672746
EXP_CCDC181,0.110796538640495,0.0325504309813826,0.00567101662554556,622,17,EXP,CCDC181,0.0341354689865831,temozolomide::O6-benzylguanine::100::5,3,1.46679412600738
EXP_FAAH,-0.108831200252422,-0.0192132350701028,0.00659051985446836,622,28,EXP,FAAH,0.0379394701909355,temozolomide::O6-benzylguanine::100::5,2,1.42090873814846
EXP_CNN3,-0.113104386692499,-0.0137379096374971,0.00473975335638799,622,14,EXP,CNN3,0.030252411392586,temozolomide::O6-benzylguanine::100::5,2,1.51924000240805
EXP_PRRC2C,0.125834990604234,0.056401378954196,0.00166364999869286,622,26,EXP,PRRC2C,0.0153062845645599,temozolomide::O6-benzylguanine::100::5,4,1.81513021680891
EXP_F3,-0.106201261849971,-0.00958796900618348,0.00802956147507255,622,25,EXP,F3,0.0430602699294374,temozolomide::O6-benzylguanine::100::5,3,1.36592325206716
EXP_DPH5,0.115074240630132,0.0482583416055669,0.00405665671777187,622,23,EXP,DPH5,0.0271757395903076,temozolomide::O6-benzylguanine::100::5,4,1.56581862771568
EXP_PTBP2,0.0996164906153156,0.0336298878071316,0.0129327472835902,622,17,EXP,PTBP2,0.0588469607746448,temozolomide::O6-benzylguanine::100::5,4,1.23027596192649
EXP_DARS2,0.0890442454196296,0.0321734012697558,0.0263711029636221,622,21,EXP,DARS2,0.0955528489751204,temozolomide::O6-benzylguanine::100::5,3,1.01975635962175
EXP_IRF6,-0.124481596111187,-0.0144247218086271,0.00186819446275013,622,35,EXP,IRF6,0.0163794216129546,temozolomide::O6-benzylguanine::100::5,2,1.78570143802964
EXP_UTP25,0.114299140976317,0.0548309158458253,0.00431402698142962,622,23,EXP,UTP25,0.0284028732522849,temozolomide::O6-benzylguanine::100::5,4,1.54663772423133
EXP_PLPPR5,0.0959088050656614,0.0399889282689837,0.0167265034149054,622,6,EXP,PLPPR5,0.0704620869272758,temozolomide::O6-benzylguanine::100::5,4,1.15204449814629
EXP_SLC35A3,-0.117448384652236,-0.0407769877314111,0.00335249411166552,622,24,EXP,SLC35A3,0.0240456855304654,temozolomide::O6-benzylguanine::100::5,2,1.61896283689526
EXP_RCOR3,0.14615206142111,0.0584757195307356,0.000254840052206302,622,32,EXP,RCOR3,0.00459293344754754,temozolomide::O6-benzylguanine::100::5,5,2.3379098475436
