"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"106","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.997318470285751,0.793160704725687,0.13181888861555
"107","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.992587034412151,0.749722453177291,0.171963159989923
"108","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.979665313823865,0.700574648535264,0.211424906821612
"109","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",100,5,0.447175358080479,0.465577394455966,-0.0184020363754871
"110","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.861958431450943,0.588102186335519,0.225569937205087
"111","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.945489496153757,0.646363094287597,0.238223685228809
"112","WM983B_SKIN",0.27500704749987,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.692072762463337,0.527252879943496,0.135317076662214
"113","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.62120943898778,0.481960092105013,0.139249346882766
"114","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.719834365652651,0.622330656236122,0.0975037094165287
"115","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.801048482886072,0.744869368139465,0.0561791147466066
"116","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",100,5,0.96041578267277,0.966376579126479,-0.00540730183489024
"117","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.908111031293098,0.901565276900659,0.00654575439243843
"118","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.863161995348434,0.837951234136236,0.0252107612121982
"119","PACADD119_PANCREAS",5.45318830954823,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.939336997148016,0.941942413419552,-0.000229028519903807
"120","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.895446461909235,0.877836629681322,0.00712316217925779
"121","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.866886887699783,0.848139617313846,0.00859506458970183
"122","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.83196719597045,0.8127406473808,0.00948329106775903
"123","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",100,5,0.623357347823306,0.612944085430045,0.00311305729212041
"124","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.741119824885714,0.723896795611283,0.00854369510907782
"125","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.790132888082375,0.77134229937592,0.00953725727417232
"126","A101D_SKIN",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.685210626327057,0.670798949520287,0.00638710129300424
"127","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.923997831779561,0.922041143990079,-0.0569368897186576
"128","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.851370568464489,0.835872052840224,0
"129","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.729559899180576,0.686703556626594,0
"130","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",100,5,0.117298875314625,0.0700421654212172,0.0314335906347178
"131","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.374549802418727,0.288961411166282,0.0350632163426794
"132","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.55967736569266,0.485552559729609,0
"133","NCIH446_LUNG",0.070389327891398,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.220033707400467,0.148907016262711,0.0414450800925461
