ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,antagonism_count_across_doses
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,0.04115,10,0.934277543476364,1,0.926355349887677,0.934277543476364,1.21454883141756,0.926355349887677,0.00792219358868718,0.012285473949754,0.934277543476364,0.934277543476364,-1.50530353745419,1
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,0.1235,10,0.440316869631955,1,1,0.440316869631955,1.21454883141756,1.21852544434634,-0.559683130368045,-1.18338597632653,0.440316869631955,0.440316869631955,-1.50530353745419,1
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,0.3704,10,0.284822541646812,1,0.972288066162305,0.284822541646812,1.21454883141756,0.972288066162305,-0.687465524515492,-1.77132048417104,0.284822541646812,0.284822541646812,-1.50530353745419,1
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,1.111,10,0.268594645298583,1,1,0.268594645298583,1.21454883141756,2.22566234574863,-0.731405354701417,-1.89649755139596,0.268594645298583,0.268594645298583,-1.50530353745419,1
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,10,10,0.295763689696659,1,1,0.295763689696659,1.21454883141756,1.44901993504204,-0.704236310303341,-1.75748314829897,0.295763689696659,0.295763689696659,-1.50530353745419,1
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,3.333,10,0.246087312086616,1,1,0.246087312086616,1.21454883141756,1.52407539164805,-0.753912687913384,-2.02275781848745,0.246087312086616,0.246087312086616,-1.50530353745419,1
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,0.01372,10,0.77622151716742,0.750800054165499,1,0.77622151716742,0.750800054165499,1.07626470252983,-0.249199945834501,-0.413499340637204,0.582787157133724,0.750800054165499,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,0.04115,10,1,0.750800054165499,0.741605654954435,1.33811600019341,0.750800054165499,0.741605654954435,0.0091943992110638,0.0177765092839982,0.750800054165499,0.750800054165499,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,0.1235,10,0.53667247643977,0.750800054165499,1,0.53667247643977,0.750800054165499,1.40925665973438,-0.46332752356023,-0.897886194333793,0.402933724380112,0.53667247643977,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,0.3704,10,0.353395638601545,0.750800054165499,0.915207227882246,0.353395638601545,0.750800054165499,0.915207227882246,-0.561811589280701,-1.37281421078105,0.265329464603891,0.353395638601545,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,1.111,10,0.203921066214301,0.750800054165499,0.700694924414446,0.203921066214301,0.750800054165499,0.700694924414446,-0.496773858200145,-1.78077562418258,0.153103947559184,0.203921066214301,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,10,10,0.188195959132297,0.750800054165499,0.799454778460554,0.188195959132297,0.750800054165499,0.799454778460554,-0.611258819328257,-2.08678077784985,0.141297536310256,0.188195959132297,-1.21000371941062,0
RH30_SOFT_TISSUE,ACH-000833,ML210,ferrostatin-1,3.333,10,0.188319730457152,0.750800054165499,0.974734749891028,0.188319730457152,0.750800054165499,0.974734749891028,-0.786415019433877,-2.3718255177127,0.141390463827662,0.188319730457152,-1.21000371941062,0
RH36_SOFT_TISSUE,ACH-001751,ML210,ferrostatin-1,0.01372,10,1,1,0.722595988300269,1.16202252842118,1.27875320205786,0.722595988300269,0.277404011699731,0.468738849631776,1,1,NA,1
RH36_SOFT_TISSUE,ACH-001751,ML210,ferrostatin-1,0.04115,10,1,1,0.831966883674584,1.02515661746123,1.27875320205786,0.831966883674584,0.168033116325416,0.265401991652379,1,1,NA,1
