ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,qval_S.emp.onlyAntagonism,qval_S.emp,is_antagonistic,antagonism_count_across_doses
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,1.111,10,0.548389608228996,1,0.947978301300271,0.548389608228996,1.08606782199134,0.947978301300271,-0.399588693071276,-0.789652804145754,0.548389608228996,0.548389608228996,-1.0322896882967,0.0241,0.0482,1,2
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,10,10,0.510204065907244,1,1,0.510204065907244,1.08606782199134,1.00435952190234,-0.489795934092756,-0.970853698806944,0.510204065907244,0.510204065907244,-1.0322896882967,0.0045,0.009,1,2
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,3.333,10,0.64084963260539,1,0.750498173321371,0.64084963260539,1.08606782199134,0.750498173321371,-0.109648540715981,-0.227862674289602,0.64084963260539,0.64084963260539,-1.0322896882967,0.3807,0.7614,0,2
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,0.01372,10,0.801069241285662,1,1,0.801069241285662,1.08575139493033,1.2392348017685,-0.198930758714338,-0.320001145958621,0.801069241285662,0.801069241285662,-1.24566512008709,0.3267,0.6534,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,0.04115,10,1,1,0.943652302745997,1.00455645162233,1.08575139493033,0.943652302745997,0.0563476972540026,0.0836727114720212,1,1,-1.24566512008709,0.7813,0.4374,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,0.1235,10,0.998343680589131,1,0.925265045735765,0.998343680589131,1.08575139493033,0.925265045735765,0.0730786348533665,0.1096698595772,0.998343680589131,0.998343680589131,-1.24566512008709,0.7916,0.4168,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,0.3704,10,0.944605887282097,1,0.914626107492382,0.944605887282097,1.08575139493033,0.914626107492382,0.029979779789715,0.046530426494559,0.944605887282097,0.944605887282097,-1.24566512008709,0.7574,0.4852,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,1.111,10,0.386958568074834,1,0.752849357617852,0.386958568074834,1.08575139493033,0.752849357617852,-0.365890789543018,-0.960182111544544,0.386958568074834,0.386958568074834,-1.24566512008709,0.1086,0.2172,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,10,10,0.527566956274642,1,0.638460476574344,0.527566956274642,1.08575139493033,0.638460476574344,-0.110893520299703,-0.275243108324239,0.527566956274642,0.527566956274642,-1.24566512008709,0.4429,0.8858,0,0
ONDA9_CENTRAL_NERVOUS_SYSTEM,ACH-001624,ML210,ferrostatin-1,3.333,10,0.60494445746155,1,0.78815758220702,0.60494445746155,1.08575139493033,0.78815758220702,-0.183213124745471,-0.381681418805842,0.60494445746155,0.60494445746155,-1.24566512008709,0.3645,0.729,0,0
ONS76_CENTRAL_NERVOUS_SYSTEM,ACH-000776,ML210,ferrostatin-1,0.01372,10,1,0.957764680342126,0.953422104482611,1.05680437629418,0.957764680342126,0.953422104482611,0.00434257585951436,0.00655616027563045,0.957764680342126,0.957764680342126,-0.833180771082089,0.7375,0.525,0,3
ONS76_CENTRAL_NERVOUS_SYSTEM,ACH-000776,ML210,ferrostatin-1,0.04115,10,0.90983995474877,0.957764680342126,1,0.90983995474877,0.957764680342126,1.12823829707577,-0.0901600452512304,-0.136315304297987,0.87141257342245,0.90983995474877,-0.833180771082089,0.3513,0.7026,0,3
ONS76_CENTRAL_NERVOUS_SYSTEM,ACH-000776,ML210,ferrostatin-1,0.1235,10,1,0.957764680342126,0.880315159043274,1.05964787571525,0.957764680342126,0.880315159043274,0.0774495212988519,0.121651122795486,0.957764680342126,0.957764680342126,-0.833180771082089,0.8481,0.3038,0,3
